CustomerID,Gender,Age,AgeGroup,Country,City,MembershipType,JoinDate
36,Female,59,55-64,United States,Chicago,None,2023-11-11
37,Male,33,25-34,United States,Boston,None,2023-10-17
38,Female,19,18-24,France,Marseille,Silver,2022-11-27
39,Male,42,35-44,United States,Seattle,Platinum,2024-08-10
40,Female,77,65+,United States,Seattle,Silver,2023-06-18
41,Male,20,18-24,India,Chennai,Silver,2025-01-19
42,Female,18,18-24,United Kingdom,Manchester,None,2022-01-07
43,Female,40,35-44,South Korea,Busan,Silver,2022-09-13
44,Female,20,18-24,United States,New York,Platinum,2024-02-06
45,Male,19,18-24,United Kingdom,Leeds,Silver,2023-03-02
46,Male,18,18-24,Italy,Milan,None,2025-04-06
47,Female,69,65+,United States,Houston,Silver,2024-07-31
48,Male,66,65+,Spain,Valencia,Gold,2025-02-14
49,Male,31,25-34,Brazil,Brasilia,Platinum,2025-01-02
50,Female,35,35-44,United States,Los Angeles,Gold,2023-10-06
51,Male,66,65+,Germany,Hamburg,Gold,2022-05-11
52,Female,44,35-44,United States,Chicago,Silver,2023-10-01
53,Male,40,35-44,Sweden,Gothenburg,None,2022-12-20
54,Female,33,25-34,Argentina,Buenos Aires,None,2024-09-16
55,Other,48,45-54,United Kingdom,Birmingham,None,2025-10-29
56,Female,79,65+,South Africa,Durban,Silver,2025-09-28
57,Male,31,25-34,United States,Los Angeles,Gold,2024-12-28
58,Male,84,65+,Germany,Cologne,Silver,2024-12-20
59,Female,31,25-34,United States,Austin,None,2025-11-10
60,Male,46,45-54,United States,Phoenix,Silver,2023-12-30
61,Female,51,45-54,United Kingdom,Glasgow,Platinum,2022-01-19
62,Female,72,65+,Canada,Vancouver,Silver,2025-08-23
63,Male,67,65+,United States,Austin,Silver,2024-03-31
64,Male,33,25-34,Australia,Perth,Platinum,2025-12-13
65,Female,67,65+,Sweden,Gothenburg,Silver,2025-04-04
66,Male,60,55-64,China,Guangzhou,Silver,2024-11-13
67,Male,19,18-24,United Kingdom,Glasgow,Silver,2023-08-10
68,Male,25,25-34,Canada,Calgary,Silver,2025-08-13
69,Male,42,35-44,Spain,Seville,Silver,2025-08-31
70,Female,75,65+,Germany,Berlin,Silver,2025-10-06
71,Female,71,65+,Canada,Vancouver,Silver,2024-02-27
72,Male,45,45-54,United States,Houston,Platinum,2024-04-12
73,Male,39,35-44,Netherlands,Amsterdam,Gold,2024-10-06
74,Male,65,65+,Canada,Toronto,None,2023-03-06
75,Female,19,18-24,United Kingdom,Leeds,Gold,2022-07-27
76,Male,60,55-64,Italy,Rome,None,2024-12-06
77,Female,60,55-64,India,Hyderabad,None,2023-09-20
78,Female,69,65+,Spain,Valencia,None,2022-08-31
79,Female,82,65+,United Kingdom,Birmingham,None,2025-10-09
80,Male,42,35-44,Poland,Wroclaw,None,2023-05-04
81,Male,81,65+,Spain,Madrid,Platinum,2024-06-20
82,Female,57,55-64,France,Marseille,Silver,2023-08-05
83,Male,39,35-44,Kenya,Mombasa,None,2023-07-25
84,Female,58,55-64,Canada,Montreal,Silver,2025-05-23
85,Female,25,25-34,Australia,Brisbane,Silver,2025-04-23
86,Female,29,25-34,Germany,Munich,Platinum,2023-09-26
87,Female,37,35-44,Japan,Yokohama,None,2024-01-07
88,Female,28,25-34,India,Hyderabad,Gold,2024-06-28
89,Other,72,65+,South Korea,Busan,None,2022-06-12
90,Female,64,55-64,Canada,Vancouver,None,2025-06-16
91,Female,72,65+,Germany,Munich,Silver,2024-03-22
92,Female,32,25-34,Canada,Vancouver,Platinum,2022-07-18
93,Male,19,18-24,China,Shenzhen,None,2024-09-15
94,Female,59,55-64,India,Hyderabad,Silver,2024-09-15
95,Male,44,35-44,Egypt,Giza,None,2024-06-18
96,Female,82,65+,Kenya,Mombasa,None,2024-09-14
97,Other,29,25-34,Germany,Hamburg,None,2025-05-17
98,Female,34,25-34,United States,Los Angeles,None,2024-03-14
99,Female,41,35-44,Germany,Munich,Gold,2022-06-07
100,Male,76,65+,France,Toulouse,Platinum,2025-08-17
101,Female,83,65+,United States,Phoenix,Silver,2023-10-11
102,Female,52,45-54,United States,Phoenix,Platinum,2024-02-13
103,Female,32,25-34,Spain,Valencia,None,2023-02-26
104,Male,56,55-64,Canada,Ottawa,None,2022-08-19
105,Female,18,18-24,South Korea,Busan,None,2025-09-09
106,Male,34,25-34,United Kingdom,Leeds,None,2024-09-07
107,Male,43,35-44,Russia,Moscow,None,2023-09-23
108,Male,79,65+,India,Hyderabad,Gold,2023-09-02
109,Female,22,18-24,Japan,Kyoto,Silver,2023-05-25
110,Male,65,65+,Germany,Frankfurt,None,2025-12-19
111,Male,34,25-34,Australia,Brisbane,None,2023-02-17
112,Male,64,55-64,Nigeria,Ibadan,None,2025-04-03
113,Female,45,45-54,United States,Houston,None,2022-01-10
114,Female,75,65+,Canada,Ottawa,None,2022-07-20
115,Male,22,18-24,Egypt,Cairo,None,2022-12-05
116,Female,23,18-24,Italy,Milan,None,2023-06-30
117,Male,58,55-64,Sweden,Stockholm,None,2023-12-01
118,Other,22,18-24,China,Shanghai,Gold,2022-08-18
119,Male,78,65+,Japan,Osaka,Silver,2023-05-13
120,Male,21,18-24,South Korea,Seoul,Silver,2025-08-14
121,Male,37,35-44,Japan,Osaka,None,2022-12-31
122,Female,76,65+,United States,Los Angeles,Gold,2022-02-14
123,Female,49,45-54,Germany,Hamburg,None,2022-07-18
124,Female,78,65+,United States,Houston,Silver,2023-08-13
125,Female,67,65+,United States,Seattle,None,2025-08-28
126,Female,45,45-54,India,Mumbai,Gold,2022-10-29
127,Female,75,65+,South Korea,Seoul,None,2024-05-05
128,Female,61,55-64,United States,Seattle,Silver,2023-10-25
129,Female,61,55-64,Japan,Tokyo,None,2024-08-07
130,Male,74,65+,Canada,Ottawa,None,2025-03-03
131,Male,25,25-34,Brazil,Salvador,None,2022-03-30
132,Female,40,35-44,France,Marseille,Gold,2022-02-04
133,Male,43,35-44,Germany,Frankfurt,Gold,2025-06-26
134,Male,34,25-34,Canada,Montreal,Gold,2023-01-20
135,Male,37,35-44,United Kingdom,Leeds,None,2023-10-25
136,Female,82,65+,Australia,Adelaide,Silver,2025-05-07
137,Male,16,Under 18,India,Hyderabad,None,2025-08-12
138,Female,29,25-34,United Kingdom,London,None,2023-03-04
139,Male,53,45-54,Canada,Vancouver,Platinum,2025-10-19
140,Female,50,45-54,Germany,Munich,Silver,2023-03-29
141,Male,78,65+,United States,Chicago,Silver,2024-06-04
142,Male,56,55-64,United States,Austin,None,2023-02-18
143,Male,83,65+,United States,Boston,None,2023-04-20
144,Female,41,35-44,Spain,Madrid,Platinum,2024-09-24
145,Female,83,65+,Italy,Naples,None,2025-06-11
146,Female,49,45-54,United States,Austin,Silver,2025-07-17
147,Female,23,18-24,India,Delhi,Gold,2024-05-16
148,Female,71,65+,Canada,Montreal,Gold,2023-07-03
149,Female,29,25-34,Australia,Perth,None,2023-11-19
150,Female,65,65+,United Kingdom,Leeds,None,2025-11-21
151,Female,77,65+,Canada,Calgary,None,2022-05-21
152,Female,70,65+,India,Hyderabad,Silver,2022-08-12
153,Male,36,35-44,United States,Chicago,Silver,2024-12-05
154,Male,35,35-44,United States,Austin,Silver,2025-06-27
155,Female,23,18-24,Australia,Melbourne,None,2023-03-08
156,Female,34,25-34,United States,New York,Silver,2023-06-02
157,Male,55,55-64,South Africa,Johannesburg,None,2023-02-27
158,Male,33,25-34,United Kingdom,Birmingham,Gold,2022-09-05
159,Male,74,65+,United States,Houston,None,2023-12-25
160,Female,52,45-54,Canada,Vancouver,None,2024-09-18
161,Male,55,55-64,United Kingdom,Birmingham,Gold,2023-11-22
162,Female,27,25-34,India,Bangalore,Platinum,2023-01-04
163,Female,77,65+,India,Delhi,None,2023-12-11
164,Female,82,65+,India,Mumbai,None,2022-07-24
165,Male,60,55-64,United Kingdom,London,Gold,2023-10-01
166,Female,72,65+,Mexico,Mexico City,Gold,2023-12-18
167,Male,61,55-64,United States,Phoenix,Silver,2023-11-15
168,Male,83,65+,Canada,Calgary,Gold,2022-09-16
169,Male,43,35-44,Egypt,Cairo,Gold,2023-01-11
170,Male,32,25-34,Canada,Ottawa,None,2024-02-02
171,Female,52,45-54,Russia,Novosibirsk,None,2025-05-20
172,Male,60,55-64,India,Hyderabad,None,2025-09-27
173,Male,73,65+,United Kingdom,Birmingham,None,2022-11-27
174,Male,78,65+,India,Delhi,Silver,2022-01-06
175,Female,21,18-24,Egypt,Alexandria,None,2023-05-08
176,Male,46,45-54,Mexico,Monterrey,Gold,2023-06-21
177,Female,61,55-64,United States,Phoenix,Silver,2023-09-29
178,Male,49,45-54,China,Beijing,Gold,2024-06-20
179,Female,22,18-24,United States,Chicago,Silver,2023-01-03
180,Female,18,18-24,United States,Austin,None,2023-12-15
181,Female,66,65+,United Kingdom,Manchester,None,2022-03-08
182,Male,82,65+,Germany,Frankfurt,None,2024-05-11
183,Male,59,55-64,United Kingdom,Birmingham,Silver,2023-09-05
184,Female,67,65+,Brazil,Rio de Janeiro,Gold,2022-02-04
185,Male,52,45-54,United Kingdom,London,None,2025-08-14
186,Male,82,65+,United States,Austin,None,2024-02-19
187,Female,39,35-44,Australia,Melbourne,Silver,2022-09-22
188,Female,31,25-34,France,Paris,None,2024-08-22
189,Male,66,65+,United States,Seattle,None,2025-04-22
190,Female,69,65+,Italy,Turin,None,2024-05-24
191,Male,75,65+,United States,Austin,Silver,2023-08-06
192,Female,30,25-34,Germany,Frankfurt,Silver,2022-03-04
193,Female,24,18-24,Brazil,Sao Paulo,Platinum,2025-01-23
194,Female,26,25-34,China,Shanghai,None,2022-06-03
195,Male,78,65+,France,Paris,None,2023-12-13
196,Female,79,65+,United States,Chicago,None,2024-10-02
197,Female,59,55-64,United States,Seattle,Platinum,2022-09-15
198,Male,24,18-24,Canada,Montreal,None,2022-08-01
199,Male,66,65+,Netherlands,Amsterdam,None,2024-09-10
200,Male,62,55-64,United States,Los Angeles,Gold,2023-03-29
201,Female,70,65+,Mexico,Guadalajara,None,2022-11-13
202,Male,44,35-44,China,Guangzhou,Silver,2023-10-13
203,Female,19,18-24,Egypt,Cairo,Silver,2025-07-26
204,Female,80,65+,United States,Los Angeles,None,2023-10-06
205,Male,46,45-54,United States,Los Angeles,Gold,2022-08-04
206,Female,51,45-54,United Kingdom,Leeds,Silver,2022-03-22
207,Female,74,65+,Australia,Adelaide,Silver,2024-03-08
208,Female,60,55-64,Mexico,Guadalajara,None,2023-10-22
209,Female,37,35-44,South Korea,Incheon,Silver,2022-11-19
210,Male,68,65+,United Kingdom,Leeds,None,2023-09-09
211,Male,51,45-54,Brazil,Rio de Janeiro,Platinum,2024-08-13
212,Female,40,35-44,Brazil,Sao Paulo,Silver,2023-02-16
213,Female,50,45-54,United Kingdom,London,Platinum,2022-04-15
214,Female,80,65+,Canada,Montreal,None,2024-01-26
215,Male,79,65+,Spain,Valencia,Silver,2023-05-08
216,Male,21,18-24,Spain,Seville,None,2024-12-03
217,Female,17,Under 18,South Africa,Johannesburg,None,2025-10-17
218,Female,24,18-24,France,Lyon,Silver,2025-12-20
219,Male,29,25-34,Canada,Vancouver,None,2025-12-08
220,Female,62,55-64,Brazil,Sao Paulo,Platinum,2025-11-16
221,Male,64,55-64,United States,New York,Platinum,2022-02-19
222,Male,46,45-54,Spain,Seville,None,2024-10-01
223,Other,62,55-64,United States,New York,Gold,2023-07-06
224,Male,39,35-44,Canada,Ottawa,Gold,2022-12-11
225,Female,34,25-34,India,Chennai,None,2025-11-26
226,Female,68,65+,United States,Phoenix,Gold,2025-04-27
227,Male,54,45-54,United Kingdom,London,Gold,2025-12-03
228,Male,68,65+,United States,Austin,None,2023-05-03
229,Female,41,35-44,United States,Boston,Silver,2022-01-10
230,Female,76,65+,United States,Austin,None,2022-10-08
231,Male,63,55-64,United States,Chicago,Silver,2022-12-28
232,Male,27,25-34,Japan,Tokyo,Silver,2023-04-21
233,Other,65,65+,United Kingdom,Birmingham,None,2025-05-07
234,Female,71,65+,United States,Los Angeles,Platinum,2022-03-24
235,Male,76,65+,United States,New York,Platinum,2023-02-28
236,Female,62,55-64,Nigeria,Ibadan,Platinum,2023-08-01
237,Male,27,25-34,United States,New York,Silver,2022-06-05
238,Female,74,65+,Canada,Calgary,None,2025-03-16
239,Male,61,55-64,France,Paris,Gold,2023-02-21
240,Female,57,55-64,South Africa,Durban,Silver,2022-01-12
241,Male,84,65+,United States,Seattle,Gold,2022-12-18
242,Male,76,65+,United States,Houston,Gold,2022-01-01
243,Female,24,18-24,United States,Boston,None,2022-04-15
244,Male,69,65+,Spain,Madrid,Silver,2022-09-15
245,Female,73,65+,Australia,Adelaide,Silver,2024-03-22
246,Female,80,65+,Japan,Tokyo,Platinum,2022-10-14
247,Male,65,65+,Canada,Calgary,Silver,2022-11-12
248,Male,60,55-64,Canada,Ottawa,None,2024-07-29
249,Male,30,25-34,Kenya,Mombasa,Silver,2023-06-18
250,Male,44,35-44,United States,Phoenix,None,2022-08-23
251,Male,31,25-34,United Kingdom,Manchester,None,2025-11-12
252,Female,43,35-44,Argentina,Buenos Aires,Platinum,2023-08-05
253,Female,60,55-64,United States,Seattle,Silver,2024-02-14
254,Female,44,35-44,United States,Seattle,None,2024-07-21
255,Female,25,25-34,United Kingdom,Birmingham,None,2022-03-28
256,Male,62,55-64,Brazil,Brasilia,None,2022-12-21
257,Male,39,35-44,Ireland,Cork,Gold,2025-04-01
258,Female,39,35-44,France,Marseille,Silver,2022-09-05
259,Male,49,45-54,Argentina,Buenos Aires,None,2022-11-19
260,Female,16,Under 18,United States,Boston,None,2025-07-20
261,Male,67,65+,France,Toulouse,Gold,2022-10-27
262,Female,22,18-24,Germany,Munich,Platinum,2022-11-17
263,Male,70,65+,United States,Phoenix,Platinum,2025-12-13
264,Female,70,65+,France,Toulouse,None,2025-07-28
265,Female,32,25-34,Australia,Sydney,None,2023-05-18
266,Female,79,65+,Japan,Osaka,None,2025-10-15
267,Female,55,55-64,Brazil,Rio de Janeiro,Platinum,2024-08-25
268,Female,20,18-24,United States,Phoenix,Silver,2025-09-17
269,Female,28,25-34,United States,Los Angeles,Platinum,2022-12-21
270,Female,38,35-44,South Korea,Incheon,Silver,2023-12-06
271,Female,16,Under 18,Nigeria,Lagos,None,2023-01-30
272,Female,52,45-54,United Kingdom,Leeds,None,2024-11-19
273,Female,28,25-34,Australia,Melbourne,Platinum,2024-12-05
274,Male,68,65+,Brazil,Brasilia,Gold,2022-12-27
275,Male,54,45-54,United States,Boston,Silver,2025-03-28
276,Female,64,55-64,United States,Phoenix,None,2022-04-04
277,Female,27,25-34,Australia,Melbourne,None,2022-11-16
278,Male,84,65+,United States,Seattle,None,2024-01-30
279,Female,62,55-64,South Africa,Cape Town,None,2023-03-13
280,Male,56,55-64,United States,Boston,Silver,2022-05-29
281,Female,80,65+,Nigeria,Ibadan,Silver,2024-06-04
282,Female,45,45-54,India,Chennai,None,2025-02-12
283,Female,47,45-54,United States,Phoenix,Platinum,2025-01-27
284,Female,78,65+,United States,Boston,Silver,2024-01-11
285,Male,74,65+,United States,New York,Silver,2023-12-04
286,Male,36,35-44,Australia,Melbourne,Silver,2022-04-04
287,Female,63,55-64,United States,New York,Gold,2025-07-07
288,Male,30,25-34,Netherlands,Amsterdam,Platinum,2024-11-17
289,Female,20,18-24,Japan,Osaka,Gold,2023-05-28
290,Female,34,25-34,United States,Houston,Silver,2023-12-11
291,Female,24,18-24,United States,Chicago,Platinum,2024-02-24
292,Male,37,35-44,United States,Phoenix,Silver,2023-11-08
293,Male,35,35-44,Brazil,Brasilia,None,2023-02-02
294,Female,49,45-54,Spain,Seville,None,2024-04-02
295,Female,82,65+,Australia,Perth,Platinum,2022-11-28
296,Female,35,35-44,Germany,Hamburg,Platinum,2025-02-26
297,Female,43,35-44,Canada,Toronto,Platinum,2025-09-23
298,Male,74,65+,China,Beijing,Gold,2022-07-25
299,Male,39,35-44,Spain,Valencia,Silver,2022-02-21
300,Male,84,65+,United Kingdom,Leeds,Gold,2022-06-15
301,Female,62,55-64,Italy,Turin,Silver,2023-08-11
302,Male,82,65+,United States,New York,Silver,2022-09-08
303,Male,71,65+,United States,Austin,Gold,2024-06-26
304,Male,63,55-64,Mexico,Guadalajara,None,2023-03-22
305,Female,65,65+,Australia,Melbourne,Silver,2025-12-09
306,Male,64,55-64,United States,Phoenix,None,2024-12-31
307,Male,74,65+,United States,Boston,Silver,2023-08-11
308,Male,19,18-24,United States,Phoenix,Platinum,2024-05-17
309,Female,23,18-24,United States,Houston,Gold,2024-05-11
310,Female,49,45-54,Ireland,Galway,Silver,2022-04-02
311,Other,42,35-44,India,Delhi,Silver,2024-01-04
312,Male,57,55-64,Canada,Montreal,Silver,2025-04-14
313,Male,33,25-34,China,Shenzhen,None,2022-06-20
314,Female,79,65+,United States,Phoenix,Silver,2022-03-08
315,Male,28,25-34,United States,Houston,None,2022-12-26
316,Male,21,18-24,United Kingdom,Glasgow,Silver,2022-10-30
317,Female,68,65+,United Kingdom,Glasgow,Silver,2023-08-21
318,Female,51,45-54,United States,Austin,Silver,2025-07-21
319,Female,73,65+,France,Nice,None,2024-03-27
320,Female,45,45-54,United Kingdom,Glasgow,None,2023-05-27
321,Female,83,65+,United Kingdom,London,Silver,2024-07-04
322,Female,26,25-34,Germany,Berlin,None,2023-05-13
323,Female,47,45-54,Nigeria,Kano,Gold,2025-01-30
324,Male,82,65+,New Zealand,Wellington,Silver,2022-10-04
325,Female,23,18-24,Spain,Madrid,Silver,2023-11-01
326,Male,79,65+,United States,Los Angeles,None,2022-09-19
327,Female,75,65+,United States,New York,Gold,2025-11-14
328,Male,26,25-34,Australia,Sydney,Silver,2022-02-14
329,Female,55,55-64,Canada,Ottawa,Silver,2022-11-30
330,Female,32,25-34,Spain,Seville,Platinum,2025-05-24
331,Male,29,25-34,China,Shanghai,Gold,2022-10-22
332,Male,55,55-64,Australia,Melbourne,Gold,2024-12-03
333,Male,39,35-44,Egypt,Giza,Gold,2023-09-09
334,Male,33,25-34,United Kingdom,Manchester,Gold,2023-07-04
335,Male,74,65+,France,Toulouse,Gold,2022-04-21
336,Female,62,55-64,India,Bangalore,Platinum,2025-01-08
337,Other,33,25-34,Australia,Brisbane,Silver,2024-07-02
338,Male,71,65+,United States,Los Angeles,Silver,2023-02-18
339,Female,77,65+,United States,Chicago,Platinum,2023-10-06
340,Female,44,35-44,United States,New York,Platinum,2023-05-15
341,Male,60,55-64,United Kingdom,London,Gold,2023-05-17
342,Male,82,65+,India,Chennai,Silver,2025-07-15
343,Male,43,35-44,United Kingdom,Edinburgh,Silver,2024-12-01
344,Male,26,25-34,Mexico,Mexico City,Silver,2022-11-24
345,Female,19,18-24,Germany,Frankfurt,None,2025-04-18
346,Male,30,25-34,Canada,Toronto,None,2025-06-02
347,Male,16,Under 18,United Kingdom,Birmingham,None,2022-07-08
348,Female,65,65+,United States,Seattle,None,2022-12-27
349,Male,79,65+,Australia,Melbourne,Silver,2025-09-01
350,Female,53,45-54,United Kingdom,Edinburgh,Platinum,2025-08-25
351,Male,81,65+,South Africa,Johannesburg,Silver,2022-05-28
352,Male,59,55-64,Nigeria,Lagos,Silver,2022-11-30
353,Male,84,65+,United States,Houston,Silver,2024-04-06
354,Female,53,45-54,Germany,Hamburg,None,2023-03-03
355,Other,43,35-44,Spain,Madrid,Silver,2022-07-02
356,Female,75,65+,Netherlands,Amsterdam,None,2024-03-18
357,Male,69,65+,Sweden,Malmo,None,2023-08-17
358,Female,42,35-44,China,Shanghai,None,2022-10-20
359,Female,46,45-54,United States,Houston,None,2023-02-07
360,Female,20,18-24,France,Lyon,Silver,2022-02-07
361,Female,41,35-44,India,Mumbai,Gold,2025-09-08
362,Female,63,55-64,Brazil,Salvador,Gold,2023-03-17
363,Male,35,35-44,Spain,Madrid,None,2024-12-22
364,Female,51,45-54,Australia,Melbourne,None,2023-09-23
365,Male,71,65+,United Kingdom,Manchester,None,2025-09-26
366,Female,58,55-64,Australia,Sydney,None,2022-01-19
367,Female,38,35-44,South Korea,Incheon,Silver,2022-06-05
368,Female,32,25-34,Australia,Perth,None,2025-02-21
369,Male,56,55-64,United States,Los Angeles,None,2023-12-27
370,Female,70,65+,Canada,Ottawa,Silver,2023-02-12
371,Male,74,65+,Japan,Tokyo,Silver,2023-02-24
372,Female,20,18-24,Kenya,Nairobi,Platinum,2022-09-14
373,Female,37,35-44,Canada,Toronto,Gold,2025-06-05
374,Male,29,25-34,China,Beijing,None,2024-07-04
375,Female,60,55-64,United States,Los Angeles,Gold,2024-09-24
376,Male,16,Under 18,United Kingdom,Manchester,None,2025-07-06
377,Male,28,25-34,United Kingdom,Edinburgh,Silver,2022-09-17
378,Male,63,55-64,India,Hyderabad,None,2023-10-22
379,Female,67,65+,South Korea,Seoul,Silver,2024-02-02
380,Male,68,65+,Brazil,Salvador,Silver,2023-09-15
381,Male,20,18-24,Germany,Munich,Gold,2023-04-18
382,Male,53,45-54,Australia,Adelaide,Platinum,2023-12-28
383,Female,62,55-64,Mexico,Mexico City,Platinum,2025-04-06
384,Female,28,25-34,Netherlands,Amsterdam,Gold,2022-08-20
385,Female,66,65+,Japan,Kyoto,None,2025-06-30
386,Male,19,18-24,France,Lyon,Gold,2023-03-29
387,Female,75,65+,China,Beijing,Silver,2022-05-04
388,Female,36,35-44,Canada,Toronto,None,2023-10-27
389,Male,75,65+,Canada,Vancouver,None,2024-06-03
390,Male,42,35-44,South Africa,Johannesburg,Gold,2025-12-24
391,Male,72,65+,Germany,Munich,Silver,2025-02-02
392,Female,48,45-54,Germany,Hamburg,Gold,2023-07-24
393,Male,29,25-34,United States,Los Angeles,Platinum,2022-02-22
394,Female,68,65+,Australia,Brisbane,Gold,2022-03-15
395,Male,62,55-64,United Kingdom,Glasgow,Silver,2025-01-20
396,Female,81,65+,United States,Austin,Gold,2023-01-10
397,Male,36,35-44,South Africa,Johannesburg,Silver,2024-04-05
398,Male,71,65+,Sweden,Malmo,None,2025-09-19
399,Male,42,35-44,Poland,Krakow,None,2023-03-12
400,Male,40,35-44,United Kingdom,London,None,2025-05-12
401,Female,31,25-34,France,Paris,None,2023-04-15
402,Male,17,Under 18,United Kingdom,London,Gold,2024-06-27
403,Male,52,45-54,Canada,Vancouver,None,2022-03-23
404,Other,83,65+,United States,Austin,Gold,2024-02-21
405,Female,57,55-64,Germany,Munich,None,2024-11-03
406,Male,62,55-64,United States,Boston,Platinum,2024-07-24
407,Female,63,55-64,United States,Phoenix,Silver,2025-08-30
408,Male,38,35-44,Canada,Toronto,None,2025-11-06
409,Female,79,65+,United States,Los Angeles,None,2024-03-29
410,Female,80,65+,Italy,Turin,None,2023-10-05
411,Male,68,65+,United States,Phoenix,None,2022-02-24
412,Male,22,18-24,France,Marseille,Gold,2025-03-14
413,Male,18,18-24,United States,Houston,None,2022-09-28
414,Female,39,35-44,United Kingdom,Glasgow,Silver,2025-07-05
415,Female,84,65+,United States,Los Angeles,Gold,2024-10-25
416,Male,50,45-54,Ireland,Cork,Silver,2022-11-03
417,Female,77,65+,Spain,Valencia,Gold,2023-03-13
418,Male,35,35-44,Mexico,Monterrey,None,2023-07-19
419,Male,66,65+,United States,Austin,Gold,2023-11-12
420,Male,23,18-24,Germany,Munich,Silver,2024-11-18
421,Male,45,45-54,Spain,Seville,None,2023-01-30
422,Female,24,18-24,United Kingdom,Leeds,Gold,2022-12-09
423,Female,16,Under 18,United States,Los Angeles,Silver,2023-08-18
424,Male,61,55-64,Canada,Toronto,None,2023-04-11
425,Female,31,25-34,Italy,Turin,Gold,2023-03-21
426,Female,82,65+,United States,Houston,Platinum,2023-05-30
427,Female,83,65+,United States,Phoenix,Silver,2025-03-17
428,Female,83,65+,Germany,Berlin,Gold,2025-11-23
429,Female,67,65+,United States,Boston,Gold,2022-05-23
430,Male,48,45-54,United Kingdom,Leeds,Platinum,2024-10-13
431,Male,33,25-34,United Kingdom,Manchester,None,2023-07-02
432,Female,68,65+,India,Mumbai,Silver,2024-02-01
433,Male,64,55-64,United States,Phoenix,None,2023-08-21
434,Female,30,25-34,France,Lyon,Silver,2023-10-15
435,Male,32,25-34,Canada,Montreal,Silver,2023-10-24
436,Female,63,55-64,Australia,Sydney,Silver,2024-09-26
437,Female,66,65+,India,Chennai,Platinum,2025-02-11
438,Female,47,45-54,France,Toulouse,Platinum,2025-07-28
439,Male,23,18-24,India,Hyderabad,None,2025-05-28
440,Male,60,55-64,United Kingdom,Birmingham,Silver,2022-12-03
441,Male,26,25-34,Mexico,Guadalajara,None,2025-08-08
442,Male,18,18-24,France,Lyon,Silver,2024-12-19
443,Female,80,65+,Canada,Calgary,Gold,2023-07-09
444,Female,68,65+,Australia,Brisbane,Silver,2022-12-25
445,Female,64,55-64,United States,Boston,None,2024-08-08
446,Female,54,45-54,China,Shanghai,Platinum,2025-02-09
447,Female,65,65+,United States,Los Angeles,Gold,2023-12-20
448,Male,53,45-54,Germany,Cologne,Gold,2024-12-15
449,Female,82,65+,Sweden,Malmo,Gold,2024-12-04
450,Female,31,25-34,Australia,Melbourne,None,2024-10-07
451,Female,46,45-54,United States,Seattle,Silver,2023-04-18
452,Female,40,35-44,Kenya,Mombasa,Silver,2023-01-26
453,Male,43,35-44,Germany,Hamburg,Platinum,2023-08-28
454,Male,19,18-24,United States,Austin,Gold,2025-12-20
455,Female,78,65+,Australia,Adelaide,None,2022-03-19
456,Male,39,35-44,United Kingdom,London,Gold,2023-05-03
457,Male,56,55-64,Canada,Montreal,None,2025-08-01
458,Female,34,25-34,Canada,Calgary,None,2025-07-10
