BookID,ISBN,Title,AuthorID,PublisherID,Genre,SubGenre,Language,PublicationYear,Format,Pages,UnitCost,UnitPrice,Rating,ReviewCount
29,978-268-90703-2,The Fading Horizon,140,71,Thriller,Psychological Thriller,English,1999,Audiobook,449,10.18,21.22,4.4,308
30,978-207-62875-6,The Frozen Mirror,487,44,Science Fiction,Hard Sci-Fi,English,1993,Paperback,660,11.58,23.22,3.7,65
31,978-442-97071-0,The Fading Harbor,65,45,Science Fiction,Cyberpunk,French,2009,Hardcover,346,6.23,17.59,2.9,130
32,978-164-97931-3,The Last Shadow,296,51,Young Adult,YA Fantasy,Spanish,2023,Paperback,403,9.64,17.01,2.5,126
33,978-155-21544-5,The Frozen Orchard,433,68,Mystery,Detective,German,1990,eBook,565,4.65,9.41,5.0,84
34,978-989-80338-1,The Golden Labyrinth,474,87,Self-Help,Personal Finance,English,2024,Hardcover,369,14.81,26.51,3.8,89
35,978-178-13669-8,The Fading Symphony,111,29,Horror,Supernatural Horror,English,2020,Hardcover,637,17.7,29.95,4.3,97
36,978-166-94032-1,The Fading Shadow,385,86,Poetry,Sonnets,English,2005,Paperback,344,8.45,15.86,3.4,70
37,978-127-91364-8,The Endless Legacy,343,87,Self-Help,Personal Finance,Spanish,2001,Paperback,432,4.65,13.0,3.7,50
38,978-219-99767-1,The Quiet Kingdom,285,77,Cooking,Baking,Italian,2010,eBook,806,5.73,10.85,3.8,91
39,978-574-62090-8,The Secret Storm,403,71,Romance,Romantic Comedy,English,2020,eBook,705,5.67,11.55,4.0,79
40,978-843-91236-5,The Golden Letter,458,39,Cooking,Baking,German,1991,Hardcover,520,12.4,32.99,3.9,223
41,978-760-27740-0,The Endless Compass,74,26,Mystery,Crime Thriller,Portuguese,2006,Paperback,394,6.87,16.46,3.4,99
42,978-621-33324-0,The Secret Mirror,235,28,Fiction,Historical Fiction,English,1991,Hardcover,814,15.26,38.91,3.4,49
43,978-176-27573-0,The Quiet Legacy,106,40,Young Adult,YA Fantasy,English,2013,Paperback,443,10.48,18.03,3.9,232
44,978-796-78600-5,The Forgotten Compass,206,45,Horror,Gothic Horror,English,1992,Paperback,360,7.66,13.96,2.9,151
45,978-133-56609-7,The Endless Mirror,190,22,Cooking,World Cuisine,Japanese,2001,Paperback,537,10.13,19.29,3.4,69
46,978-667-46972-3,The Broken Compass,360,32,Cooking,World Cuisine,English,2016,Paperback,409,7.85,14.51,3.8,105
47,978-467-28623-4,The Secret Kingdom,309,24,Fantasy,Sword & Sorcery,English,2017,eBook,742,5.86,11.71,4.1,236
48,978-893-25706-5,The Last Letter,375,98,Children,Middle Grade,English,1998,eBook,268,3.92,6.95,4.7,205
49,978-376-99770-4,The Midnight River,353,52,Young Adult,YA Romance,German,2008,Hardcover,155,6.39,15.7,3.6,19
50,978-673-36912-6,The Hidden Legacy,178,9,Children,Picture Book,English,1996,eBook,421,3.58,8.67,3.9,42
51,978-495-83799-4,The Secret Chronicle,322,49,Fiction,Contemporary Fiction,English,2011,eBook,783,6.07,12.19,2.9,46
52,978-569-32529-6,The Midnight Labyrinth,238,51,Fiction,Literary Fiction,English,1990,Hardcover,163,8.53,15.43,4.1,71
53,978-943-26854-8,The Distant Horizon,269,45,Young Adult,YA Dystopian,English,2019,Paperback,685,11.49,20.56,3.4,78
54,978-740-38602-3,The Shattered Journey,108,39,Poetry,Contemporary Poetry,English,1990,Hardcover,120,10.04,16.9,3.7,119
55,978-472-75423-0,The Quiet Echo,138,54,Science Fiction,Cyberpunk,English,2011,Hardcover,510,13.29,24.58,4.2,96
56,978-502-28257-1,The Whispering Harbor,60,78,Fiction,Historical Fiction,English,2004,Paperback,437,6.95,17.03,4.2,214
57,978-733-45195-4,The Midnight Journey,80,74,Biography,Celebrity Biography,English,1998,Paperback,231,4.62,11.34,3.1,54
58,978-411-26164-3,The Golden Chronicle,176,60,Romance,Historical Romance,Portuguese,2009,Audiobook,642,11.78,25.54,4.3,219
59,978-250-79497-8,The Ancient Mirror,93,74,Business,Entrepreneurship,English,1995,eBook,242,3.16,6.16,3.9,114
60,978-520-11285-5,The Restless Letter,247,7,Cooking,Quick Meals,English,2010,Paperback,425,8.64,18.07,4.6,128
61,978-161-12311-4,The Frozen Garden,359,6,History,Cultural History,English,2013,eBook,510,3.93,10.71,4.7,191
62,978-252-89151-7,The Frozen Shadow,79,68,Business,Entrepreneurship,English,2006,Audiobook,482,8.78,18.67,4.8,174
63,978-478-30944-2,The Golden Flame,105,41,Mystery,Cozy Mystery,Spanish,2003,Paperback,142,6.49,11.71,3.1,71
64,978-816-80515-7,The Golden Harbor,82,50,Business,Marketing,Portuguese,2006,Paperback,431,7.78,18.97,4.1,54
65,978-802-35281-0,The Restless Chronicle,406,82,Biography,Political Biography,English,2024,eBook,578,4.74,9.32,3.0,174
66,978-334-50000-5,The Endless River,62,62,Self-Help,Personal Finance,German,2017,Audiobook,488,8.04,19.27,4.6,122
67,978-479-49937-8,The Forgotten Horizon,462,57,Fiction,Literary Fiction,German,1990,eBook,631,5.73,11.72,4.7,126
68,978-238-83223-7,The Distant Orchard,438,10,Science Fiction,Cyberpunk,Spanish,2000,Hardcover,662,14.96,28.48,4.4,459
69,978-778-11825-7,The Fading Horizon,193,96,Science Fiction,Dystopian,Japanese,1990,eBook,245,2.44,6.07,3.7,190
70,978-321-77971-3,The Burning Symphony,348,51,Self-Help,Personal Finance,English,1998,Paperback,682,10.03,18.76,4.2,90
71,978-818-63058-7,The Last Legacy,92,37,Science Fiction,Dystopian,English,2018,Paperback,746,12.19,23.48,3.6,90
72,978-857-91559-4,The Restless Labyrinth,73,53,Fantasy,Epic Fantasy,English,2020,Paperback,706,8.5,19.85,3.9,47
73,978-719-13720-5,The Midnight Compass,331,96,Children,Picture Book,English,2006,eBook,715,6.58,11.46,3.8,33
74,978-396-71200-0,The Quiet Storm,331,15,Cooking,Healthy Eating,English,2014,Hardcover,268,10.06,18.45,2.8,60
75,978-956-83557-1,The Fading Harbor,152,12,Fantasy,Fairy Tale Retelling,Portuguese,2003,Paperback,576,10.13,21.1,3.5,121
76,978-716-90140-4,The Scarlet Horizon,243,62,History,Military History,English,2007,eBook,440,2.96,7.99,5.0,64
77,978-680-38991-0,The Hidden Storm,263,83,Business,Entrepreneurship,Portuguese,2019,Hardcover,808,14.97,32.54,3.9,170
78,978-869-11607-6,The Distant Shadow,283,91,Biography,Political Biography,English,1999,eBook,701,4.34,10.04,4.0,42
79,978-892-43944-7,The Midnight Chronicle,143,85,Science Fiction,Space Opera,Chinese,2001,Paperback,233,5.72,13.76,3.9,84
80,978-169-30746-8,The Fading Shadow,415,3,Fantasy,Epic Fantasy,English,1994,Paperback,779,12.33,24.14,3.7,152
81,978-892-94741-0,The Endless Promise,302,58,Business,Leadership,English,1997,Hardcover,607,20.32,35.01,3.9,323
82,978-787-68223-8,The Broken Horizon,239,26,Biography,Celebrity Biography,French,1991,Audiobook,500,7.18,18.57,3.7,235
83,978-285-39078-0,The Wandering River,260,14,Fantasy,Sword & Sorcery,English,2019,Audiobook,432,10.47,19.55,2.6,142
84,978-376-88792-4,The Burning Garden,145,33,Poetry,Spoken Word,Japanese,2020,Hardcover,465,17.45,34.52,4.3,118
85,978-776-12436-7,The Ancient River,171,96,Poetry,Sonnets,English,2005,eBook,659,5.61,10.86,4.8,218
86,978-294-71096-0,The Endless Kingdom,391,55,Young Adult,YA Contemporary,English,2011,eBook,655,5.91,10.53,3.3,67
87,978-506-33280-0,The Endless Mirror,66,21,Fantasy,Sword & Sorcery,German,1998,Hardcover,506,12.39,27.91,3.7,145
88,978-719-95937-0,The Whispering Flame,80,75,Fantasy,Epic Fantasy,English,1991,Paperback,814,12.04,24.32,4.7,38
89,978-684-81626-4,The Fading Storm,85,100,Mystery,Cozy Mystery,Spanish,2008,eBook,282,3.3,7.87,3.5,112
90,978-917-62445-7,The Restless Mirror,463,67,Science Fiction,Cyberpunk,English,1995,Paperback,418,6.15,14.61,4.1,33
91,978-200-90545-1,The Hidden Horizon,405,43,Self-Help,Career Development,French,2020,Audiobook,539,10.13,21.17,5.0,261
92,978-365-11608-1,The Scarlet Storm,471,47,Thriller,Spy Thriller,French,2000,Hardcover,235,6.65,18.9,4.2,184
93,978-985-71425-5,The Shattered Mirror,157,34,Horror,Psychological Horror,Italian,2016,Audiobook,469,7.9,19.17,3.9,264
94,978-611-17549-2,The Hidden Letter,173,96,Fantasy,Urban Fantasy,English,1999,Audiobook,704,9.08,23.41,4.4,40
95,978-323-58351-6,The Endless Storm,141,28,Young Adult,YA Fantasy,English,1994,Hardcover,592,13.81,36.35,4.3,445
96,978-360-40906-8,The Restless Letter,387,35,Business,Leadership,English,2009,Paperback,617,8.37,18.75,3.5,87
97,978-404-99301-6,The Burning Garden,379,10,Fantasy,Fairy Tale Retelling,French,1996,eBook,233,2.41,6.42,2.9,150
98,978-598-50883-7,The Distant Compass,462,79,Children,Picture Book,English,2004,eBook,221,2.46,6.33,4.2,49
99,978-355-75510-4,The Wandering Chronicle,143,42,Self-Help,Mindfulness,Japanese,2000,Hardcover,429,13.14,25.41,4.3,146
100,978-659-49939-7,The Broken Compass,460,83,Fantasy,Urban Fantasy,Italian,2021,Paperback,346,7.88,15.36,3.7,84
101,978-500-60135-1,The Forgotten Garden,476,15,Romance,Historical Romance,Italian,2008,eBook,127,3.05,5.2,4.8,210
102,978-648-99982-0,The Broken Tide,58,11,Horror,Slasher,English,2015,Paperback,507,11.47,19.78,4.7,21
103,978-239-72550-5,The Shattered Legacy,174,44,Cooking,Quick Meals,English,2011,Paperback,647,12.13,21.33,4.3,46
104,978-660-62754-0,The Wandering River,84,5,Thriller,Legal Thriller,English,2022,Paperback,632,10.18,19.47,3.7,205
105,978-931-54333-8,The Broken Echo,490,69,Fantasy,Sword & Sorcery,Portuguese,2005,Audiobook,192,5.35,12.83,2.7,29
106,978-221-31558-6,The Burning Tide,246,99,Mystery,Crime Thriller,German,2021,Hardcover,666,14.3,36.25,3.8,88
107,978-394-87286-8,The Whispering Kingdom,7,96,Poetry,Sonnets,English,2022,Audiobook,386,10.95,18.64,2.9,60
108,978-723-56452-2,The Whispering Chronicle,277,36,History,World History,English,2023,Paperback,229,5.79,9.81,2.6,82
109,978-655-72964-4,The Hidden Kingdom,90,25,Biography,Celebrity Biography,Portuguese,2015,Audiobook,450,11.0,23.1,4.3,55
110,978-706-66437-6,The Distant Harbor,173,67,Fiction,Contemporary Fiction,English,2025,Hardcover,271,9.06,18.61,4.5,265
111,978-603-73924-2,The Burning Shadow,288,15,Horror,Psychological Horror,English,2016,eBook,591,4.02,11.45,2.8,89
112,978-713-78020-4,The Restless Shadow,39,3,Biography,Celebrity Biography,French,2001,eBook,640,3.19,8.23,3.8,240
113,978-647-93768-5,The Golden Chronicle,457,48,History,World History,English,1995,eBook,627,5.09,10.46,3.9,170
114,978-166-90261-8,The Quiet Legacy,215,77,Poetry,Spoken Word,English,1997,Hardcover,201,8.91,22.54,3.7,113
115,978-775-99504-6,The Endless Journey,324,85,History,Ancient History,Portuguese,2010,Paperback,363,6.96,14.82,3.1,5
116,978-501-63755-1,The Whispering Tide,141,36,Cooking,Healthy Eating,English,1995,Hardcover,468,15.78,28.75,4.6,179
117,978-146-44750-4,The Silent Compass,385,8,History,World History,Spanish,1998,Hardcover,809,18.81,34.18,3.2,123
118,978-467-80246-5,The Last Echo,224,59,Thriller,Psychological Thriller,Japanese,2012,eBook,502,5.63,9.96,2.8,175
119,978-491-49521-1,The Fading Echo,259,79,Cooking,Quick Meals,English,2001,Audiobook,577,9.62,23.53,3.1,89
120,978-177-74421-3,The Frozen Echo,137,5,Children,Chapter Book,English,2014,eBook,357,3.82,8.35,4.2,112
121,978-995-13252-2,The Wandering Horizon,94,43,Horror,Gothic Horror,French,2025,Hardcover,326,14.75,29.11,3.8,154
122,978-299-89150-1,The Wandering Storm,218,11,Mystery,Noir,English,1993,Paperback,677,11.54,23.3,3.5,93
123,978-397-46552-4,The Ancient Echo,160,49,Young Adult,YA Dystopian,English,2013,Paperback,704,13.66,22.78,4.2,75
124,978-496-17536-1,The Burning Kingdom,295,83,History,Military History,English,2019,Hardcover,158,8.43,20.11,4.1,188
125,978-848-94623-5,The Golden Shadow,295,56,Fantasy,Sword & Sorcery,Italian,1995,eBook,497,3.14,8.53,2.6,9
126,978-767-28930-1,The Whispering Mirror,181,56,Mystery,Noir,German,2018,Hardcover,664,13.95,31.21,4.2,110
127,978-793-48315-6,The Ancient Journey,68,18,Cooking,Baking,English,2008,Hardcover,230,7.1,14.8,4.5,85
128,978-313-75734-1,The Last Horizon,106,78,History,Cultural History,English,2012,eBook,572,3.98,8.9,3.8,40
129,978-860-75305-8,The Hidden Echo,136,81,Horror,Supernatural Horror,Japanese,1991,Hardcover,451,10.1,23.49,3.8,118
130,978-845-30370-0,The Broken Harbor,199,17,Science Fiction,Dystopian,Chinese,2005,Paperback,475,6.98,16.85,4.9,334
131,978-517-96299-4,The Restless Legacy,377,72,Mystery,Noir,English,2003,Paperback,535,7.12,15.58,3.5,43
132,978-590-79880-2,The Ancient Mirror,131,33,Business,Marketing,French,1995,Hardcover,730,18.06,34.57,3.8,148
133,978-133-36924-2,The Midnight Orchard,370,98,Biography,Autobiography,English,2017,Paperback,180,4.29,11.07,4.1,143
134,978-783-29531-4,The Whispering Kingdom,33,86,Cooking,Healthy Eating,English,2008,Paperback,261,6.02,10.63,3.9,35
135,978-963-19520-7,The Fading Garden,327,80,Poetry,Contemporary Poetry,Japanese,2021,eBook,361,5.0,9.8,3.8,132
136,978-524-56009-8,The Quiet Horizon,317,59,Thriller,Psychological Thriller,English,1995,Hardcover,680,10.91,28.96,3.9,77
137,978-585-55196-2,The Midnight Symphony,397,39,Business,Economics,English,2016,Paperback,534,7.21,20.25,4.8,72
138,978-548-56341-1,The Endless Mirror,317,67,Horror,Supernatural Horror,English,2011,eBook,251,1.64,4.51,4.3,63
139,978-174-84167-6,The Fading Storm,159,61,Fantasy,Sword & Sorcery,English,2013,Hardcover,136,6.12,16.42,3.9,424
140,978-657-23243-5,The Wandering River,160,21,Fantasy,Urban Fantasy,Italian,2001,Hardcover,813,17.04,33.36,3.4,18
141,978-748-58418-1,The Frozen Labyrinth,405,54,Fantasy,Epic Fantasy,English,2014,Paperback,216,6.29,10.74,3.5,189
142,978-934-20987-6,The Frozen Mirror,480,56,Horror,Slasher,French,1998,Hardcover,142,8.76,22.85,4.4,96
143,978-935-33763-4,The Frozen Mirror,255,93,Science Fiction,Space Opera,German,2017,Hardcover,404,10.03,23.81,3.0,34
144,978-542-32293-5,The Shattered Compass,395,74,Romance,Historical Romance,German,2005,Audiobook,507,10.83,19.12,5.0,93
145,978-962-14408-3,The Frozen Orchard,493,85,Biography,Memoir,German,2007,Paperback,301,6.97,14.62,3.9,221
146,978-575-59234-3,The Fading Promise,452,18,Science Fiction,Hard Sci-Fi,French,2010,Paperback,237,5.36,11.73,3.1,181
147,978-677-65114-1,The Shattered Labyrinth,18,63,Romance,Historical Romance,English,1993,Paperback,180,5.47,11.68,4.0,44
148,978-641-49761-6,The Frozen Kingdom,235,30,Young Adult,YA Contemporary,English,2003,Hardcover,405,8.26,22.02,3.5,119
149,978-997-40023-1,The Midnight Shadow,301,24,Business,Entrepreneurship,Italian,1997,eBook,786,4.68,11.55,3.7,120
150,978-763-86296-7,The Endless Orchard,262,1,Self-Help,Personal Finance,English,2024,eBook,223,3.44,5.83,3.1,65
151,978-207-71236-7,The Forgotten Kingdom,294,57,Horror,Gothic Horror,English,2005,Audiobook,520,12.35,24.18,3.8,138
152,978-164-80092-6,The Frozen Journey,346,97,Self-Help,Mindfulness,English,1990,Hardcover,255,8.31,19.72,2.7,116
153,978-468-55848-0,The Ancient Compass,115,63,Biography,Political Biography,English,1990,Hardcover,591,15.95,27.18,3.6,38
154,978-563-63736-2,The Distant Orchard,295,90,Self-Help,Mindfulness,English,2022,eBook,162,2.81,6.25,3.4,16
155,978-701-79596-4,The Golden Echo,334,68,Business,Marketing,English,1995,Paperback,262,5.03,13.07,3.6,32
156,978-532-91473-5,The Golden Compass,335,10,Fiction,Literary Fiction,English,1990,Hardcover,125,10.87,18.39,3.5,63
157,978-562-59547-8,The Midnight Storm,293,73,Self-Help,Career Development,Spanish,1997,Paperback,573,9.18,17.78,3.9,82
158,978-928-52755-3,The Ancient Horizon,217,84,Fiction,Literary Fiction,Italian,1997,Hardcover,623,16.81,31.24,4.4,202
159,978-401-43436-7,The Frozen Letter,179,81,Cooking,Healthy Eating,English,1992,eBook,240,2.61,7.34,4.1,97
160,978-543-78063-1,The Golden Labyrinth,67,55,Children,Picture Book,Italian,2025,eBook,437,3.28,7.8,4.6,83
161,978-601-54323-3,The Broken Storm,380,53,Fiction,Literary Fiction,English,1992,eBook,325,5.12,8.73,3.6,16
162,978-521-68202-0,The Hidden Garden,407,97,Children,Picture Book,English,2016,Paperback,151,4.22,10.86,4.1,227
163,978-970-74270-6,The Silent River,494,100,Biography,Political Biography,English,2020,eBook,146,2.67,4.69,4.1,45
164,978-965-30392-1,The Restless Tide,194,51,Fiction,Literary Fiction,English,2013,eBook,777,6.07,11.19,4.5,264
165,978-561-66477-2,The Fading River,106,76,Business,Economics,Italian,1994,eBook,573,4.54,10.2,3.5,58
166,978-505-94741-6,The Fading Legacy,305,21,Thriller,Spy Thriller,English,2016,Paperback,585,10.22,17.87,4.3,41
167,978-629-95950-4,The Midnight Compass,301,66,Fiction,Literary Fiction,French,2001,Audiobook,326,11.34,19.53,3.4,86
168,978-262-94462-0,The Forgotten Orchard,185,86,Children,Early Reader,German,2004,Paperback,304,7.44,13.13,3.6,45
169,978-482-36093-0,The Burning Mirror,172,91,Thriller,Legal Thriller,English,1999,Paperback,676,9.62,21.28,3.7,74
170,978-295-70979-4,The Secret Promise,242,94,Children,Early Reader,English,2018,eBook,427,3.91,7.87,4.1,102
171,978-229-35890-2,The Last Echo,212,17,Science Fiction,Cyberpunk,English,2010,eBook,191,2.7,6.34,3.3,140
172,978-185-67937-1,The Scarlet Legacy,320,54,Poetry,Sonnets,English,1995,Audiobook,462,9.23,24.12,3.4,273
173,978-627-56309-5,The Frozen Mirror,362,57,Biography,Political Biography,Chinese,2004,Paperback,485,9.67,16.8,3.5,53
174,978-100-31597-2,The Golden Echo,290,41,Biography,Celebrity Biography,English,2018,eBook,518,5.43,9.13,3.9,106
175,978-680-41880-5,The Fading Promise,343,1,Poetry,Sonnets,Portuguese,2023,Paperback,495,5.67,15.55,3.4,26
176,978-488-32895-3,The Ancient Mirror,71,78,History,Cultural History,German,2023,eBook,720,6.16,11.8,4.0,151
177,978-429-58909-1,The Scarlet Kingdom,157,77,Fiction,Literary Fiction,English,1994,Hardcover,291,15.29,26.04,3.7,106
178,978-791-61202-1,The Secret Kingdom,118,9,History,World History,English,2020,Paperback,532,7.66,15.25,4.3,19
179,978-584-22828-2,The Ancient Letter,400,37,Children,Chapter Book,Spanish,2010,Audiobook,741,9.85,27.24,3.9,117
180,978-759-35785-0,The Forgotten Labyrinth,87,85,Romance,Contemporary Romance,Spanish,2016,eBook,805,3.83,10.82,4.9,59
181,978-737-96543-2,The Fading Storm,434,28,Science Fiction,Cyberpunk,English,2003,Paperback,795,10.52,22.09,4.0,79
182,978-128-82414-8,The Scarlet Labyrinth,288,87,Fiction,Short Stories,English,2013,Hardcover,628,19.0,32.48,3.2,217
183,978-293-82056-7,The Secret Flame,88,4,Poetry,Classic Poetry,Portuguese,1999,Paperback,194,3.56,8.48,3.8,20
184,978-612-19006-3,The Hidden Compass,198,30,Fiction,Short Stories,English,2008,Hardcover,811,15.63,35.71,3.9,156
185,978-977-77155-5,The Endless Garden,28,88,History,Cultural History,Spanish,1998,Hardcover,142,9.88,17.99,3.4,36
186,978-238-10509-5,The Fading Tide,124,2,Poetry,Spoken Word,English,2004,Audiobook,505,12.2,22.16,4.7,42
187,978-194-82405-7,The Ancient Kingdom,301,54,Thriller,Spy Thriller,English,2004,Paperback,432,9.83,16.78,3.7,54
188,978-946-44549-2,The Midnight Labyrinth,23,1,Mystery,Crime Thriller,English,2021,Hardcover,594,15.39,27.5,3.5,28
189,978-969-37859-2,The Restless Letter,262,17,Young Adult,YA Romance,English,2012,eBook,667,5.78,11.6,4.0,373
190,978-250-41191-2,The Restless Orchard,384,98,Children,Early Reader,English,2013,Hardcover,636,17.52,29.96,3.4,16
191,978-461-51147-0,The Forgotten Promise,122,47,Fiction,Contemporary Fiction,Portuguese,2000,Paperback,278,7.37,14.64,4.4,32
192,978-663-34767-2,The Restless Horizon,28,79,History,Military History,English,2005,Paperback,648,7.77,15.53,4.3,15
193,978-275-23800-7,The Hidden Kingdom,312,88,Fiction,Short Stories,English,2007,Hardcover,650,11.1,31.37,4.0,47
194,978-393-70792-8,The Ancient Shadow,191,36,Thriller,Action Thriller,English,2018,Paperback,137,5.0,10.77,4.2,108
195,978-455-60541-0,The Golden Horizon,205,67,Romance,Historical Romance,English,1996,eBook,566,4.23,11.72,3.6,101
196,978-676-91414-4,The Wandering Storm,228,89,Poetry,Spoken Word,Portuguese,1991,Paperback,209,6.95,12.09,3.1,95
197,978-376-71598-3,The Frozen Orchard,295,44,Business,Entrepreneurship,English,2008,eBook,513,3.49,9.9,3.7,119
198,978-470-54485-4,The Burning Labyrinth,227,90,Young Adult,YA Fantasy,Portuguese,2019,Audiobook,279,7.46,17.48,3.6,174
199,978-360-35623-4,The Golden Horizon,152,8,Horror,Psychological Horror,English,2016,eBook,370,5.74,9.59,2.8,192
200,978-782-76035-0,The Silent Orchard,70,91,Fiction,Literary Fiction,English,2019,Audiobook,310,8.95,16.31,3.3,123
201,978-237-21781-7,The Midnight Tide,493,40,Fiction,Short Stories,German,2004,Audiobook,723,12.64,23.44,3.2,80
202,978-307-61267-8,The Silent Echo,355,51,Horror,Supernatural Horror,English,1998,eBook,753,5.5,10.41,3.3,36
203,978-324-64419-5,The Endless River,332,21,Biography,Autobiography,Chinese,2013,Paperback,678,8.0,22.04,4.6,124
204,978-914-90910-5,The Whispering Legacy,114,83,Self-Help,Mindfulness,English,1991,Hardcover,625,13.62,32.26,4.2,153
205,978-949-39665-4,The Endless Orchard,10,28,Young Adult,YA Fantasy,English,2022,eBook,374,4.38,7.97,4.4,84
206,978-549-31204-3,The Whispering Promise,315,4,Thriller,Legal Thriller,English,2015,eBook,220,3.45,6.02,4.2,177
207,978-240-71224-1,The Burning Journey,452,11,Young Adult,YA Contemporary,English,2008,eBook,517,4.34,9.93,4.5,143
208,978-779-70477-5,The Hidden Journey,190,16,Young Adult,YA Dystopian,German,1997,eBook,418,3.71,8.94,3.9,50
209,978-542-37754-0,The Restless Legacy,60,62,Mystery,Cozy Mystery,English,1999,eBook,317,3.35,8.2,4.7,69
210,978-863-73415-7,The Distant Letter,261,64,Young Adult,YA Fantasy,English,2025,eBook,290,3.0,6.17,3.2,172
211,978-423-75705-3,The Wandering Labyrinth,494,19,Science Fiction,Dystopian,English,1990,eBook,232,2.05,4.85,3.9,13
212,978-997-68817-3,The Midnight Horizon,227,11,Romance,Historical Romance,English,1990,Hardcover,700,10.97,30.88,3.3,14
213,978-825-42243-2,The Fading Labyrinth,170,24,Horror,Slasher,English,2002,Paperback,344,5.26,11.75,4.6,42
214,978-301-28976-8,The Endless Journey,478,5,Business,Entrepreneurship,English,1998,Hardcover,762,15.22,31.17,4.1,400
215,978-752-69958-1,The Silent Tide,120,33,Fiction,Historical Fiction,English,2014,Hardcover,588,18.03,35.46,4.6,150
216,978-357-87852-1,The Restless Labyrinth,174,11,Children,Middle Grade,English,1991,Paperback,235,3.43,7.87,3.1,45
217,978-414-63430-1,The Secret Kingdom,122,21,History,Military History,English,2018,Hardcover,163,8.22,19.19,3.6,119
218,978-325-42510-5,The Burning Promise,77,46,Children,Middle Grade,Portuguese,2018,Audiobook,411,9.22,21.9,2.9,39
219,978-713-99919-8,The Burning Storm,444,31,Horror,Slasher,English,1998,Paperback,177,6.72,13.29,4.1,102
